Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,9/16/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518600,,463750,495700,910420,1065200,580067,905597,864020,2186294,1809544,2746402,3465840,2322700
Afghanistan,AFG,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,28000,71000,3000,30000,15000,13000,71000,7400,27000,435000,117000,46000,25000
Africa Western and Central,AFW,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683200,1228600,107400,5030300,530498,71990,202690,211450,373548,798652,649648,824052,232800
Angola,AGO,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86000,79000,227000,6400,2500,,5600,19000,14000,11000,6700,15000,22000
Albania,ALB,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,450,24,4200,3100,3500,110,33000,,250
Andorra,AND,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131600,,,,,,,202630,,,805177,885560,1771741,560630
United Arab Emirates,ARE,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,,220,610,40
Argentina,ARG,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,,,,2000,6900,32000,36000,12000,27000,16000,23000,3700,710
Armenia,ARM,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4600,,390,
Antigua and Barbuda,ATG,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,1400,,,,
Australia,AUS,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,7500,1000,10000,16000,13000,1200,5700,3200,31000,11000,25000,51000,49000
Austria,AUT,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,250,,,270,,56
Azerbaijan,AZE,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,32000,,36000,,,,,,390,140,,
Burundi,BDI,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,,1500,,,,13000,3100,6600,11000,35000,27000,51000,87000
Belgium,BEL,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,10,,16000
